radiotype,radio,area,cellid,enbrnc,lcid,xarfcn,unit,band,fc,sigl,asu,signal,lat,lon,acc,speed,bearing,alt,rsrq,rssnr,ss,ta,timerange,Temperature,Dew Point,Humidity,Wind,WindSpeed,WindGust,Pressure,Precip,Condition
LTE,LTE,42243,5122562,20010,2,66611,445,66,2127.5,4,43,-97,39.0615026,-94.5871968,14.3,0.3,131.9,247.4,-15,18,26,-1,2 oct 2019 15 to 16 hrs,80 F,73 F,79 %,NNW,12 mph,30 mph,28.78 in,0.0 in,Mostly Cloudy
LTE,LTE,42243,5122562,20010,2,66611,445,66,2127.5,4,60,-80,39.0615113,-94.5871771,16.4,0.5,40.5,247.4,-12,18.4,31,-1,2 oct 2019 15 to 16 hrs,80 F,73 F,79 %,NNW,12 mph,30 mph,28.78 in,0.0 in,Mostly Cloudy
LTE,LTE,42243,5122562,20010,2,66611,445,66,2127.5,4,60,-80,39.0615214,-94.5871679,17.7,0.2,44.9,250.4,-12,20,31,-1,2 oct 2019 15 to 16 hrs,80 F,73 F,79 %,NNW,12 mph,30 mph,28.78 in,0.0 in,Mostly Cloudy
LTE,LTE,42243,5122562,20010,2,66611,445,66,2127.5,4,53,-87,39.0614796,-94.5870705,19.5,1.1,113.7,247.4,-7,22.2,27,2,2 oct 2019 15 to 16 hrs,80 F,73 F,79 %,NNW,12 mph,30 mph,28.78 in,0.0 in,Mostly Cloudy
LTE,LTE,42243,5122562,20010,2,66611,445,66,2127.5,4,53,-87,39.0614814,-94.5870413,17.3,0.6,77.5,251.7,-7,19.8,27,2,2 oct 2019 15 to 16 hrs,80 F,73 F,79 %,NNW,12 mph,30 mph,28.78 in,0.0 in,Mostly Cloudy
LTE,LTE,42243,5122562,20010,2,66611,445,66,2127.5,4,55,-85,39.0615368,-94.58706,17.9,0.8,19.8,251.7,-13,27,30,-1,2 oct 2019 15 to 16 hrs,80 F,73 F,79 %,NNW,12 mph,30 mph,28.78 in,0.0 in,Mostly Cloudy
LTE,LTE,42243,5122562,20010,2,66611,445,66,2127.5,4,55,-85,39.0616267,-94.5870902,17.8,1,353.6,248.5,-13,17,30,-1,2 oct 2019 15 to 16 hrs,80 F,73 F,79 %,NNW,12 mph,30 mph,28.78 in,0.0 in,Mostly Cloudy
LTE,LTE,42243,5122562,20010,2,66611,445,66,2127.5,4,57,-83,39.0617537,-94.5870677,14.4,1.7,7.7,249.4,-11,22.6,31,-1,2 oct 2019 15 to 16 hrs,80 F,73 F,79 %,NNW,12 mph,30 mph,28.78 in,0.0 in,Mostly Cloudy
LTE,LTE,42243,5122562,20010,2,66611,445,66,2127.5,4,56,-84,39.0618585,-94.5870277,12.2,1,4.4,249.4,-11,14.4,30,2,2 oct 2019 15 to 16 hrs,80 F,73 F,79 %,NNW,12 mph,30 mph,28.78 in,0.0 in,Mostly Cloudy
LTE,LTE,42243,5122562,20010,2,66611,445,66,2127.5,4,56,-84,39.0619322,-94.5869978,11.8,1,42.9,251,-11,20,30,2,2 oct 2019 15 to 16 hrs,80 F,73 F,79 %,NNW,12 mph,30 mph,28.78 in,0.0 in,Mostly Cloudy
LTE,LTE,42243,5122562,20010,2,66611,445,66,2127.5,4,60,-80,39.0619864,-94.5869493,12.1,1,44.6,249.4,-11,19.4,31,-1,2 oct 2019 15 to 16 hrs,80 F,73 F,79 %,NNW,12 mph,30 mph,28.78 in,0.0 in,Mostly Cloudy
LTE,LTE,42243,5122562,20010,2,66611,445,66,2127.5,4,60,-80,39.0620303,-94.5869001,12.2,1,64.2,249.6,-11,20.6,31,-1,2 oct 2019 15 to 16 hrs,80 F,73 F,79 %,NNW,12 mph,30 mph,28.78 in,0.0 in,Mostly Cloudy
LTE,LTE,42243,5122562,20010,2,66611,445,66,2127.5,4,58,-82,39.0620503,-94.5868279,12.6,1,77.6,248.5,-11,16.6,31,-1,2 oct 2019 15 to 16 hrs,80 F,73 F,79 %,NNW,12 mph,30 mph,28.78 in,0.0 in,Mostly Cloudy
LTE,LTE,42243,5122562,20010,2,66611,445,66,2127.5,4,58,-82,39.0620662,-94.586763,13.3,0.9,67.6,248.5,-11,21.2,31,-1,2 oct 2019 15 to 16 hrs,80 F,73 F,79 %,NNW,12 mph,30 mph,28.78 in,0.0 in,Mostly Cloudy
LTE,LTE,42243,5122562,20010,2,66611,445,66,2127.5,4,56,-84,39.0620718,-94.5866937,16.2,0.9,82,248.5,-8,18.4,28,-1,2 oct 2019 15 to 16 hrs,80 F,73 F,79 %,NNW,12 mph,30 mph,28.78 in,0.0 in,Mostly Cloudy
LTE,LTE,42243,5122562,20010,2,66611,445,66,2127.5,4,56,-84,39.0620826,-94.586699,12.7,0.7,59.5,248.5,-8,18.4,28,-1,2 oct 2019 15 to 16 hrs,80 F,73 F,79 %,NNW,12 mph,30 mph,28.78 in,0.0 in,Mostly Cloudy
LTE,LTE,42243,5122562,20010,2,66611,445,66,2127.5,4,49,-91,39.0620738,-94.5866501,14.9,0.8,178.4,248.5,-11,18.4,26,-1,2 oct 2019 15 to 16 hrs,80 F,73 F,79 %,NNW,12 mph,30 mph,28.78 in,0.0 in,Mostly Cloudy
LTE,LTE,42243,5122562,20010,2,66611,445,66,2127.5,4,49,-91,39.0620629,-94.5865898,14.2,0.8,130.6,248.5,-11,18.4,26,-1,2 oct 2019 15 to 16 hrs,80 F,73 F,79 %,NNW,12 mph,30 mph,28.78 in,0.0 in,Mostly Cloudy
LTE,LTE,42243,5122562,20010,2,66611,445,66,2127.5,4,55,-85,39.0620618,-94.5865444,17.1,0.7,115.1,248.5,-12,27.2,30,-1,2 oct 2019 15 to 16 hrs,80 F,73 F,79 %,NNW,12 mph,30 mph,28.78 in,0.0 in,Mostly Cloudy
LTE,LTE,42243,5122562,20010,2,66611,445,66,2127.5,4,55,-85,39.0620981,-94.5864008,18.3,2.2,77.1,249.6,-12,23,30,-1,2 oct 2019 15 to 16 hrs,80 F,73 F,79 %,NNW,12 mph,30 mph,28.78 in,0.0 in,Mostly Cloudy
LTE,LTE,42243,5122562,20010,2,66611,445,66,2127.5,4,50,-90,39.0621104,-94.5863922,19.8,0.8,76.2,250.3,-14,16.4,29,3,2 oct 2019 15 to 16 hrs,80 F,73 F,79 %,NNW,12 mph,30 mph,28.78 in,0.0 in,Mostly Cloudy
LTE,LTE,42243,5122562,20010,2,66611,445,66,2127.5,4,50,-90,39.0621285,-94.5863656,16.4,0.9,46.2,248.5,-14,21.6,29,3,2 oct 2019 15 to 16 hrs,80 F,73 F,79 %,NNW,12 mph,30 mph,28.78 in,0.0 in,Mostly Cloudy
LTE,LTE,42243,5122562,20010,2,66611,445,66,2127.5,4,56,-84,39.0622347,-94.5861504,16.8,1,19.1,250.3,-12,17.4,31,-1,2 oct 2019 15 to 16 hrs,80 F,73 F,79 %,NNW,12 mph,30 mph,28.78 in,0.0 in,Mostly Cloudy
LTE,LTE,42243,5122562,20010,2,66611,445,66,2127.5,4,56,-84,39.062237,-94.5861345,22.2,0.9,89.7,248.8,-12,19,31,-1,2 oct 2019 15 to 16 hrs,80 F,73 F,79 %,NNW,12 mph,30 mph,28.78 in,0.0 in,Mostly Cloudy
LTE,LTE,42243,5122562,20010,2,66611,445,66,2127.5,4,58,-82,39.0622628,-94.5860929,16.2,1,67,250.3,-10,18.6,31,-1,2 oct 2019 15 to 16 hrs,80 F,73 F,79 %,NNW,12 mph,30 mph,28.78 in,0.0 in,Mostly Cloudy
LTE,LTE,42243,5122562,20010,2,66611,445,66,2127.5,4,53,-87,39.0623066,-94.5860557,18.2,1,33.8,250.3,-13,17,29,-1,2 oct 2019 15 to 16 hrs,80 F,73 F,79 %,NNW,12 mph,30 mph,28.78 in,0.0 in,Mostly Cloudy
LTE,LTE,42243,5122562,20010,2,66611,445,66,2127.5,4,53,-87,39.0624064,-94.58599,19.2,1.1,25.1,251.1,-13,18.4,29,-1,2 oct 2019 15 to 16 hrs,80 F,73 F,79 %,NNW,12 mph,30 mph,28.78 in,0.0 in,Mostly Cloudy
LTE,LTE,42243,5122562,20010,2,66611,445,66,2127.5,4,59,-81,39.0625343,-94.5858669,16.1,1.1,30.9,250.3,-7,15.8,29,-1,2 oct 2019 15 to 16 hrs,80 F,73 F,79 %,NNW,12 mph,30 mph,28.78 in,0.0 in,Mostly Cloudy
LTE,LTE,42243,5122562,20010,2,66611,445,66,2127.5,4,59,-81,39.0626105,-94.5858508,17.6,1.1,19.6,251.1,-7,19.2,29,-1,2 oct 2019 15 to 16 hrs,80 F,73 F,79 %,NNW,12 mph,30 mph,28.78 in,0.0 in,Mostly Cloudy
LTE,LTE,42243,5122562,20010,2,66611,445,66,2127.5,4,52,-88,39.0626814,-94.5858093,18.3,1.2,24.9,251.1,-10,18,26,2,2 oct 2019 15 to 16 hrs,80 F,73 F,79 %,NNW,12 mph,30 mph,28.78 in,0.0 in,Mostly Cloudy
LTE,LTE,42243,5122562,20010,2,66611,445,66,2127.5,4,52,-88,39.062732,-94.5856992,17.4,1.3,41.6,254.7,-10,18,26,2,2 oct 2019 15 to 16 hrs,80 F,73 F,79 %,NNW,12 mph,30 mph,28.78 in,0.0 in,Mostly Cloudy
LTE,LTE,42243,5122562,20010,2,66611,445,66,2127.5,4,53,-87,39.0627816,-94.5856297,15.7,1.2,40,251.1,-8,15.8,26,2,2 oct 2019 15 to 16 hrs,80 F,73 F,79 %,NNW,12 mph,30 mph,28.78 in,0.0 in,Mostly Cloudy
LTE,LTE,42243,5122562,20010,2,66611,445,66,2127.5,4,53,-87,39.0628264,-94.5855941,15.1,1,40.4,251.1,-8,18.2,26,2,2 oct 2019 15 to 16 hrs,80 F,73 F,79 %,NNW,12 mph,30 mph,28.78 in,0.0 in,Mostly Cloudy
LTE,LTE,42243,5122562,20010,2,66611,445,66,2127.5,4,52,-88,39.0629014,-94.5856267,13.8,1.2,3.8,255,-16,18,30,-1,2 oct 2019 15 to 16 hrs,80 F,73 F,79 %,NNW,12 mph,30 mph,28.78 in,0.0 in,Mostly Cloudy
LTE,LTE,42243,5122562,20010,2,66611,445,66,2127.5,4,52,-88,39.0630171,-94.5856586,14,1.8,358.6,258.5,-16,18.2,30,-1,2 oct 2019 15 to 16 hrs,80 F,73 F,79 %,NNW,12 mph,30 mph,28.78 in,0.0 in,Mostly Cloudy
LTE,LTE,42243,5122562,20010,2,66611,445,66,2127.5,4,62,-78,39.0631204,-94.5856529,13.5,1.5,2,258.7,-11,18.8,31,2,2 oct 2019 15 to 16 hrs,80 F,73 F,79 %,NNW,12 mph,30 mph,28.78 in,0.0 in,Mostly Cloudy
LTE,LTE,42243,5122562,20010,2,66611,445,66,2127.5,4,62,-78,39.0631937,-94.585666,14.4,1.1,357.7,257.9,-11,14,31,2,2 oct 2019 15 to 16 hrs,80 F,73 F,79 %,NNW,12 mph,30 mph,28.78 in,0.0 in,Mostly Cloudy
LTE,LTE,42243,5122562,20010,2,66611,445,66,2127.5,4,47,-93,39.0632631,-94.5856728,14.8,1.1,358.6,257.9,-8,13,24,3,2 oct 2019 15 to 16 hrs,80 F,73 F,79 %,NNW,12 mph,30 mph,28.78 in,0.0 in,Mostly Cloudy
LTE,LTE,42243,5122562,20010,2,66611,445,66,2127.5,4,47,-93,39.0633086,-94.5856852,17.5,1,357.2,257.9,-8,11,24,3,2 oct 2019 15 to 16 hrs,80 F,73 F,79 %,NNW,12 mph,30 mph,28.78 in,0.0 in,Mostly Cloudy
LTE,LTE,42243,5122562,20010,2,66611,445,66,2127.5,4,47,-93,39.063354,-94.5857022,20.2,1,357.6,257.9,-12,13.2,26,-1,2 oct 2019 15 to 16 hrs,80 F,73 F,79 %,NNW,12 mph,30 mph,28.78 in,0.0 in,Mostly Cloudy
LTE,LTE,42243,5122562,20010,2,66611,445,66,2127.5,4,47,-93,39.0634245,-94.585722,16.9,0.9,351.3,254.8,-12,10.6,26,-1,2 oct 2019 15 to 16 hrs,80 F,73 F,79 %,NNW,12 mph,30 mph,28.78 in,0.0 in,Mostly Cloudy
LTE,LTE,42243,5122562,20010,2,66611,445,66,2127.5,4,51,-89,39.0634905,-94.5857287,15.9,0.8,356.6,254.8,-12,7.6,28,-1,2 oct 2019 15 to 16 hrs,80 F,73 F,79 %,NNW,12 mph,30 mph,28.78 in,0.0 in,Mostly Cloudy
LTE,LTE,42243,5122562,20010,2,66611,445,66,2127.5,4,51,-89,39.0635223,-94.5857352,16,0.7,340.3,254.8,-12,7.6,28,-1,2 oct 2019 15 to 16 hrs,80 F,73 F,79 %,NNW,12 mph,30 mph,28.78 in,0.0 in,Mostly Cloudy
LTE,LTE,42243,5122562,20010,2,66611,445,66,2127.5,4,47,-93,39.0635197,-94.5857244,14.8,0,0.1,254.8,-13,11,27,3,2 oct 2019 15 to 16 hrs,80 F,73 F,79 %,NNW,12 mph,30 mph,28.78 in,0.0 in,Mostly Cloudy
LTE,LTE,42243,5122562,20010,2,66611,445,66,2127.5,4,48,-92,39.0635326,-94.5857139,18.2,0.1,1.2,254.7,-13,10.2,28,3,2 oct 2019 15 to 16 hrs,80 F,73 F,79 %,NNW,12 mph,30 mph,28.78 in,0.0 in,Mostly Cloudy
LTE,LTE,42243,5122562,20010,2,66611,445,66,2127.5,4,49,-91,39.0635622,-94.585702,9.6,0.3,327.8,254.8,-15,10.2,28,-1,2 oct 2019 15 to 16 hrs,80 F,73 F,79 %,NNW,12 mph,30 mph,28.78 in,0.0 in,Mostly Cloudy
LTE,LTE,42243,5122562,20010,2,66611,445,66,2127.5,4,52,-88,39.063571,-94.5857025,6.4,0.3,282.7,254.8,-11,12,28,-1,2 oct 2019 15 to 16 hrs,80 F,73 F,79 %,NNW,12 mph,30 mph,28.78 in,0.0 in,Mostly Cloudy
LTE,LTE,42243,5122562,20010,2,66611,445,66,2127.5,4,52,-88,39.0635822,-94.5857279,6.9,0.5,300.7,254.8,-11,12,28,-1,2 oct 2019 15 to 16 hrs,80 F,73 F,79 %,NNW,12 mph,30 mph,28.78 in,0.0 in,Mostly Cloudy
LTE,LTE,42243,5122562,20010,2,66611,445,66,2127.5,4,47,-93,39.0635886,-94.5857404,7.7,0.3,303.2,254.8,-10,10.4,25,-1,2 oct 2019 15 to 16 hrs,80 F,73 F,79 %,NNW,12 mph,30 mph,28.78 in,0.0 in,Mostly Cloudy
LTE,LTE,42243,5122562,20010,2,66611,445,66,2127.5,4,50,-90,39.0635928,-94.5857484,5.4,0.1,304.3,255.5,-12,10,28,-1,2 oct 2019 15 to 16 hrs,80 F,73 F,79 %,NNW,12 mph,30 mph,28.78 in,0.0 in,Mostly Cloudy
LTE,LTE,42243,5122562,20010,2,66611,445,66,2127.5,4,50,-90,39.0635931,-94.5857479,9.3,0,53,255,-12,13.4,28,-1,2 oct 2019 15 to 16 hrs,80 F,73 F,79 %,NNW,12 mph,30 mph,28.78 in,0.0 in,Mostly Cloudy
LTE,LTE,42243,5122562,20010,2,66611,445,66,2127.5,4,50,-90,39.0635914,-94.5857367,8.6,0.2,299.8,255.6,-13,13.4,28,-1,2 oct 2019 15 to 16 hrs,80 F,73 F,79 %,NNW,12 mph,30 mph,28.78 in,0.0 in,Mostly Cloudy
LTE,LTE,42243,5122562,20010,2,66611,445,66,2127.5,4,51,-89,39.0635954,-94.5857398,13.8,0.3,72.7,255.6,-12,12,28,-1,2 oct 2019 15 to 16 hrs,80 F,73 F,79 %,NNW,12 mph,30 mph,28.78 in,0.0 in,Mostly Cloudy
LTE,LTE,42243,5122562,20010,2,66611,445,66,2127.5,4,53,-87,39.0635824,-94.5857451,13.9,0,259.5,254.8,-13,10.6,30,-1,2 oct 2019 15 to 16 hrs,80 F,73 F,79 %,NNW,12 mph,30 mph,28.78 in,0.0 in,Mostly Cloudy
LTE,LTE,42243,5122562,20010,2,66611,445,66,2127.5,4,53,-87,39.063586,-94.5857438,12.7,0,270.2,254.8,-13,11,30,-1,2 oct 2019 15 to 16 hrs,80 F,73 F,79 %,NNW,12 mph,30 mph,28.78 in,0.0 in,Mostly Cloudy
LTE,LTE,42243,5122562,20010,2,66611,445,66,2127.5,4,49,-91,39.0635936,-94.585743,11.7,0,90,254.8,-10,8.2,26,-1,2 oct 2019 15 to 16 hrs,80 F,73 F,79 %,NNW,12 mph,30 mph,28.78 in,0.0 in,Mostly Cloudy
LTE,LTE,42243,5122562,20010,2,66611,445,66,2127.5,4,49,-91,39.0635942,-94.5857452,11.4,0.1,272.7,254.7,-10,12.8,26,-1,2 oct 2019 15 to 16 hrs,80 F,73 F,79 %,NNW,12 mph,30 mph,28.78 in,0.0 in,Mostly Cloudy
LTE,LTE,42243,5122562,20010,2,66611,445,66,2127.5,4,51,-89,39.0635958,-94.5857579,11.6,0.2,263.2,254.7,-12,12.8,28,-1,2 oct 2019 15 to 16 hrs,80 F,73 F,79 %,NNW,12 mph,30 mph,28.78 in,0.0 in,Mostly Cloudy
LTE,LTE,42243,5122562,20010,2,66611,445,66,2127.5,4,46,-94,39.0635935,-94.585759,11.4,0,216.1,254.7,-13,15,26,3,2 oct 2019 15 to 16 hrs,80 F,73 F,79 %,NNW,12 mph,30 mph,28.78 in,0.0 in,Mostly Cloudy
LTE,LTE,42243,5122562,20010,2,66611,445,66,2127.5,4,46,-94,39.0635913,-94.5857729,11.1,0,267.7,254.7,-13,13.4,26,3,2 oct 2019 15 to 16 hrs,80 F,73 F,79 %,NNW,12 mph,30 mph,28.78 in,0.0 in,Mostly Cloudy
LTE,LTE,42243,5122562,20010,2,66611,445,66,2127.5,4,46,-94,39.0635914,-94.5857666,11.1,0.1,297.7,254.7,-13,13.4,26,3,2 oct 2019 15 to 16 hrs,80 F,73 F,79 %,NNW,12 mph,30 mph,28.78 in,0.0 in,Mostly Cloudy
LTE,LTE,42243,5122562,20010,2,66611,445,66,2127.5,4,49,-91,39.0635945,-94.585774,301.5,0.2,297.1,255,-14,11.6,28,-1,2 oct 2019 15 to 16 hrs,80 F,73 F,79 %,NNW,12 mph,30 mph,28.78 in,0.0 in,Mostly Cloudy
LTE,LTE,42243,5122562,20010,2,66611,445,66,2127.5,4,49,-91,39.0635717,-94.5858522,16,1.3,249,254.8,-14,11.6,28,-1,2 oct 2019 15 to 16 hrs,80 F,73 F,79 %,NNW,12 mph,30 mph,28.78 in,0.0 in,Mostly Cloudy
LTE,LTE,42243,5122562,20010,2,66611,445,66,2127.5,4,54,-86,39.0635528,-94.585843,12.9,0.3,110.7,254.8,-12,11.8,30,-1,2 oct 2019 15 to 16 hrs,80 F,73 F,79 %,NNW,12 mph,30 mph,28.78 in,0.0 in,Mostly Cloudy
LTE,LTE,42243,5122562,20010,2,66611,445,66,2127.5,4,52,-88,39.063561,-94.5858442,8.6,0.1,334,254.8,-10,11.8,27,-1,2 oct 2019 15 to 16 hrs,80 F,73 F,79 %,NNW,12 mph,30 mph,28.78 in,0.0 in,Mostly Cloudy
LTE,LTE,42243,5122562,20010,2,66611,445,66,2127.5,4,51,-89,39.0635646,-94.5858413,8.6,0.1,79.4,254.4,-12,9.4,28,-1,2 oct 2019 15 to 16 hrs,80 F,73 F,79 %,NNW,12 mph,30 mph,28.78 in,0.0 in,Mostly Cloudy
LTE,LTE,42243,5122562,20010,2,66611,445,66,2127.5,4,53,-87,39.0635641,-94.5858474,7.5,0.1,277.7,254.8,-9,13.2,27,-1,2 oct 2019 15 to 16 hrs,80 F,73 F,79 %,NNW,12 mph,30 mph,28.78 in,0.0 in,Mostly Cloudy
LTE,LTE,42243,5122562,20010,2,66611,445,66,2127.5,4,53,-87,39.0635644,-94.5858506,7.5,0.1,277.3,254.8,-9,12,27,-1,2 oct 2019 15 to 16 hrs,80 F,73 F,79 %,NNW,12 mph,30 mph,28.78 in,0.0 in,Mostly Cloudy
LTE,LTE,42243,5122562,20010,2,66611,445,66,2127.5,4,45,-95,39.0635645,-94.5858532,13.9,0,273.5,255.5,-14,9.8,26,3,2 oct 2019 15 to 16 hrs,80 F,73 F,79 %,NNW,12 mph,30 mph,28.78 in,0.0 in,Mostly Cloudy
LTE,LTE,42243,5122562,20010,2,66611,445,66,2127.5,4,45,-95,39.0635637,-94.5858521,16.2,0,140.2,254.7,-14,9.8,26,3,2 oct 2019 15 to 16 hrs,80 F,73 F,79 %,NNW,12 mph,30 mph,28.78 in,0.0 in,Mostly Cloudy
LTE,LTE,42243,5122562,20010,2,66611,445,66,2127.5,4,47,-93,39.0635627,-94.5858506,9.6,0,136,257.2,-16,11.2,28,-1,2 oct 2019 15 to 16 hrs,80 F,73 F,79 %,NNW,12 mph,30 mph,28.78 in,0.0 in,Mostly Cloudy
LTE,LTE,42243,5122562,20010,2,66611,445,66,2127.5,4,52,-88,39.0635615,-94.5858477,9.6,0,119,254.8,-13,12.4,29,-1,2 oct 2019 15 to 16 hrs,80 F,73 F,79 %,NNW,12 mph,30 mph,28.78 in,0.0 in,Mostly Cloudy
LTE,LTE,42243,5122562,20010,2,66611,445,66,2127.5,4,52,-88,39.0635323,-94.5858705,11.7,0.7,210.8,254.8,-13,14,29,-1,2 oct 2019 15 to 16 hrs,80 F,73 F,79 %,NNW,12 mph,30 mph,28.78 in,0.0 in,Mostly Cloudy
LTE,LTE,42243,5122562,20010,2,66611,445,66,2127.5,4,48,-92,39.0634434,-94.5858075,12.4,8.4,161.8,254.7,-13,13.2,27,-1,2 oct 2019 15 to 16 hrs,80 F,73 F,79 %,NNW,12 mph,30 mph,28.78 in,0.0 in,Mostly Cloudy
LTE,LTE,42243,5122562,20010,2,66611,445,66,2127.5,4,49,-91,39.0617818,-94.5857834,5.4,14.7,182,258.7,-14,20.6,28,-1,2 oct 2019 15 to 16 hrs,80 F,73 F,79 %,NNW,12 mph,30 mph,28.78 in,0.0 in,Mostly Cloudy
LTE,LTE,42243,5122562,20010,2,66611,445,66,2127.5,4,49,-91,39.0606322,-94.5858549,5.4,15.2,182,248.5,-14,15.6,28,-1,2 oct 2019 15 to 16 hrs,80 F,73 F,79 %,NNW,12 mph,30 mph,28.78 in,0.0 in,Mostly Cloudy
LTE,LTE,42243,5122562,20010,2,66611,445,66,2127.5,4,52,-88,39.0599048,-94.5859312,7.5,15.8,182.1,248.5,-8,16,26,3,2 oct 2019 15 to 16 hrs,80 F,73 F,79 %,NNW,12 mph,30 mph,28.78 in,0.0 in,Mostly Cloudy
LTE,LTE,42243,5122562,20010,2,66611,445,66,2127.5,4,43,-97,39.0584845,-94.5860785,8.6,14.2,184,248.5,-15,13,24,-1,2 oct 2019 15 to 16 hrs,80 F,73 F,79 %,NNW,12 mph,30 mph,28.78 in,0.0 in,Mostly Cloudy
LTE,LTE,42243,5122562,20010,2,66611,445,66,2127.5,4,43,-97,39.057746,-94.5861533,6.4,14.1,182.1,249.5,-15,7.2,24,-1,2 oct 2019 15 to 16 hrs,80 F,73 F,79 %,NNW,12 mph,30 mph,28.78 in,0.0 in,Mostly Cloudy
LTE,LTE,42243,5122562,20010,2,66611,445,66,2127.5,2,31,-109,39.0565849,-94.5861925,9.6,8.8,184.9,249.5,-16,-4.6,20,5,2 oct 2019 15 to 16 hrs,80 F,73 F,79 %,NNW,12 mph,30 mph,28.78 in,0.0 in,Mostly Cloudy
LTE,LTE,42243,5122562,20010,2,66611,445,66,2127.5,2,30,-110,39.056321,-94.5862355,6.4,0.5,182.3,249.5,-16,-3.6,20,5,2 oct 2019 15 to 16 hrs,80 F,73 F,79 %,NNW,12 mph,30 mph,28.78 in,0.0 in,Mostly Cloudy
LTE,LTE,42243,5122562,20010,2,66611,445,66,2127.5,2,30,-110,39.0563596,-94.5862528,8.6,0.4,274,254.4,-16,-3.6,20,5,2 oct 2019 15 to 16 hrs,80 F,73 F,79 %,NNW,12 mph,30 mph,28.78 in,0.0 in,Mostly Cloudy
LTE,LTE,42243,5122562,20010,2,66611,445,66,2127.5,2,28,-112,39.056396,-94.586187,9.6,0.2,10.1,255,-18,-8.8,19,6,2 oct 2019 15 to 16 hrs,80 F,73 F,79 %,NNW,12 mph,30 mph,28.78 in,0.0 in,Mostly Cloudy
LTE,LTE,42243,5122562,20010,2,66611,445,66,2127.5,2,28,-112,39.0564069,-94.5861793,10.4,0,180,255.2,-18,-6,19,6,2 oct 2019 15 to 16 hrs,80 F,73 F,79 %,NNW,12 mph,30 mph,28.78 in,0.0 in,Mostly Cloudy
LTE,LTE,42243,5122562,20010,2,66611,445,66,2127.5,2,29,-111,39.0564028,-94.5862211,11.4,0,300.3,255.2,-19,-3.4,21,-1,2 oct 2019 15 to 16 hrs,80 F,73 F,79 %,NNW,12 mph,30 mph,28.78 in,0.0 in,Mostly Cloudy
